viewCount,likeCount,subscribers,totalViews,totalVideos,durationSecs,title length,Label
47360,206,135000,21427061,1289,249,28,0
55966,401,135000,21427061,1289,273,26,0
46863,233,135000,21427061,1289,227,35,0
60409,351,135000,21427061,1289,296,22,0
63516,287,135000,21427061,1289,176,33,0
47717,183,135000,21427061,1289,157,37,0
36100,71,135000,21427061,1289,87,47,0
79673,321,135000,21427061,1289,205,50,0
32797,52,135000,21427061,1289,142,25,0
135182,422,135000,21427061,1289,148,48,0
23112,65,135000,21427061,1289,199,42,0
19107,47,135000,21427061,1289,111,30,0
17748,15,135000,21427061,1289,45,34,0
39622,118,135000,21427061,1289,200,34,0
91778,569,135000,21427061,1289,190,36,0
26528,76,135000,21427061,1289,113,52,0
12662,21,135000,21427061,1289,59,53,0
21109,72,135000,21427061,1289,199,28,0
100744,589,135000,21427061,1289,249,58,0
14709,55,135000,21427061,1289,241,50,0
10176,14,135000,21427061,1289,51,33,0
9555,15,135000,21427061,1289,94,42,0
16448,28,135000,21427061,1289,198,35,0
29589,127,135000,21427061,1289,142,34,0
15526,48,135000,21427061,1289,191,32,0
17853,59,135000,21427061,1289,191,45,0
12082,22,135000,21427061,1289,70,37,0
8164,17,135000,21427061,1289,112,44,0
8157,9,135000,21427061,1289,61,32,0
7620,10,135000,21427061,1289,78,55,0
44932,248,135000,21427061,1289,230,54,0
42008,338,135000,21427061,1289,237,47,0
51261,293,135000,21427061,1289,193,58,0
29061,122,135000,21427061,1289,171,51,0
90462,445,135000,21427061,1289,233,52,0
29157,517,150000,7038760,429,639,60,0
6855,267,150000,7038760,429,1146,46,0
4411,178,150000,7038760,429,1145,49,0
3820,189,150000,7038760,429,581,68,0
2189,127,150000,7038760,429,594,63,0
2361,111,150000,7038760,429,651,52,0
1438,90,150000,7038760,429,579,60,0
1162,80,150000,7038760,429,522,60,0
1163,74,150000,7038760,429,459,69,0
1075,63,150000,7038760,429,385,64,0
30430,576,150000,7038760,429,427,62,0
3094,114,150000,7038760,429,1239,48,0
1632,94,150000,7038760,429,836,53,0
1621,71,150000,7038760,429,562,52,0
1092,71,150000,7038760,429,507,63,0
1020,73,150000,7038760,429,416,61,0
2497,117,150000,7038760,429,419,49,0
716,32,342,26424,29,370,60,0
435,20,342,26424,29,274,74,0
449,25,342,26424,29,376,70,0
68,11,342,26424,29,403,79,0
923,23,342,26424,29,392,88,0
112,16,342,26424,29,432,92,0
120,12,342,26424,29,440,97,0
2047,32,342,26424,29,885,79,0
5982,128,342,26424,29,577,87,0
853,32,342,26424,29,440,93,0
1326,26,342,26424,29,407,89,0
386,12,342,26424,29,328,97,0
962,16,342,26424,29,224,67,0
1207,33,342,26424,29,836,94,0
481323,2852,128000,15164639,257,321,85,1
647878,2105,128000,15164639,257,294,73,1
501124,2953,128000,15164639,257,468,94,1
399369,2664,128000,15164639,257,515,84,1
856867,4915,128000,15164639,257,419,92,1
144389,1616,128000,15164639,257,492,97,1
175706,1316,128000,15164639,257,304,86,1
433480,2009,128000,15164639,257,526,85,1
326925,1952,128000,15164639,257,490,74,1
273877,1491,128000,15164639,257,279,92,1
178482,923,128000,15164639,257,261,99,1
227107,1111,128000,15164639,257,505,73,1
165323,818,128000,15164639,257,382,59,1
242570,913,128000,15164639,257,385,67,1
125754,531,128000,15164639,257,234,71,1
63230,804,128000,15164639,257,409,59,1
43823,543,128000,15164639,257,294,59,1
237724,1079,128000,15164639,257,291,68,1
312819,1517,128000,15164639,257,255,72,1
124405,752,128000,15164639,257,452,91,1
274075,1501,128000,15164639,257,281,53,1
104242,340,128000,15164639,257,143,63,1
111946,438,128000,15164639,257,233,88,1
180644,773,128000,15164639,257,284,55,1
304736,1442,128000,15164639,257,410,100,1
210520,1407,128000,15164639,257,916,76,1
86263,451,128000,15164639,257,478,77,1
102010,586,128000,15164639,257,508,77,1
174914,1059,128000,15164639,257,237,63,1
128503,675,128000,15164639,257,242,63,1
181888,1081,128000,15164639,257,404,97,1
88270,375,128000,15164639,257,259,70,1
190107,907,128000,15164639,257,280,94,1
325757,1807,128000,15164639,257,391,94,1
123294,623,128000,15164639,257,260,82,1
39263,495,128000,15164639,257,888,90,1
34918,329,128000,15164639,257,687,80,1
27890,290,128000,15164639,257,873,84,1
115198,605,128000,15164639,257,260,70,1
92164,439,128000,15164639,257,219,81,1
202234,1216,128000,15164639,257,277,94,1
144338,729,128000,15164639,257,224,100,1
87438,470,128000,15164639,257,412,88,1
195973,1118,128000,15164639,257,396,85,1
492997,3591,128000,15164639,257,338,67,1
298588,2803,128000,15164639,257,469,81,1
423710,2904,128000,15164639,257,319,69,1
163120,972,128000,15164639,257,322,83,1
196270,1134,128000,15164639,257,401,81,1
87642,545,128000,15164639,257,259,95,1
114551,640,128000,15164639,257,342,95,1
52914,290,128000,15164639,257,391,96,1
100912,630,128000,15164639,257,403,91,1
138689,828,128000,15164639,257,436,86,1
65614,833,128000,15164639,257,591,96,1
74386,929,128000,15164639,257,408,65,1
205237,6308,170000,11456404,75,4383,100,1
2294957,50926,170000,11456404,75,3627,100,1
23091,1089,170000,11456404,75,6470,73,1
17469,796,170000,11456404,75,1397,71,1
166463,5208,170000,11456404,75,1953,99,1
232956,6594,170000,11456404,75,3690,98,1
184572,5490,170000,11456404,75,6049,99,1
216190,6070,170000,11456404,75,12258,90,1
638637,19780,170000,11456404,75,3521,87,1
1067222,32466,170000,11456404,75,5167,57,1
22330,656,170000,11456404,75,3626,71,1
63921,2744,170000,11456404,75,945,57,1
60092,1360,170000,11456404,75,5866,78,1
66808,2038,170000,11456404,75,3637,84,1
67913,1926,170000,11456404,75,3674,89,1
29619,713,170000,11456404,75,4898,79,1
109753,3337,170000,11456404,75,2955,52,1
81819,1909,170000,11456404,75,4823,48,1
52601,1527,170000,11456404,75,2617,85,1
9006,337,3750,141671,69,414,34,0
1943,44,3750,141671,69,2061,99,0
3036,117,3750,141671,69,1814,91,0
1785,55,3750,141671,69,1897,98,0
4515,121,3750,141671,69,1444,100,0
1268,47,3750,141671,69,1368,68,0
8052,264,3750,141671,69,1489,100,0
877,28,3750,141671,69,1172,99,0
3012,38,3750,141671,69,1298,100,0
128098,3721,214000,6800036,237,448,61,1
87598,2720,214000,6800036,237,1678,60,1
60344,1477,214000,6800036,237,2632,58,1
57133,1609,214000,6800036,237,4119,70,1
33378,729,214000,6800036,237,2734,60,1
21817,612,214000,6800036,237,2207,79,1
15120,610,214000,6800036,237,711,66,0
8697,241,214000,6800036,237,2968,75,0
6029,300,214000,6800036,237,148,42,0
32388,978,214000,6800036,237,4571,94,1
7968063,150510,679000,55991342,322,1969,45,1
1339683,25899,679000,55991342,322,1331,44,1
403239,7437,679000,55991342,322,1465,45,1
293557,3978,679000,55991342,322,1516,45,1
94776,1811,679000,55991342,322,1231,44,1
158039,2960,679000,55991342,322,1586,52,1
250637,4220,679000,55991342,322,756,40,1
704968,8470,679000,55991342,322,695,39,1
558884,11349,679000,55991342,322,844,32,1
494833,3005,679000,55991342,322,544,61,1
51437,1129,679000,55991342,322,519,37,1
